State,District,Year,Quarter,Registered_Users,App_Open_Count
Andhra Pradesh,Visakhapatnam,2022,3,3397514,87888969
Andhra Pradesh,Prakasam,2022,3,1567520,114185009
Andhra Pradesh,Anantapur,2022,3,2030824,181038520
Andhra Pradesh,Kurnool,2022,3,1924127,143715547
Andhra Pradesh,Guntur,2022,3,2647100,91146114
Andhra Pradesh,Krishna,2022,3,2685215,86220959
Andhra Pradesh,Spsr Nellore,2022,3,1588875,105928407
Andhra Pradesh,Vizianagaram,2022,3,995141,46767889
Andhra Pradesh,Ysr,2022,3,1487140,107976611
Andhra Pradesh,West Godavari,2022,3,1805967,97509407
Andhra Pradesh,Chittoor,2022,3,2517657,162524274
Andhra Pradesh,East Godavari,2022,4,2835087,173720880
Andhra Pradesh,Srikakulam,2022,4,1204785,72666058
Andhra Pradesh,Visakhapatnam,2022,4,3566854,208604256
Andhra Pradesh,Prakasam,2022,4,1642503,94432083
Andhra Pradesh,Anantapur,2022,4,2128066,136685634
Andhra Pradesh,Kurnool,2022,4,2018290,105333688
Andhra Pradesh,Guntur,2022,4,2774365,144773169
Andhra Pradesh,Krishna,2022,4,2813645,156902257
Andhra Pradesh,Spsr Nellore,2022,4,1663684,103101986
Andhra Pradesh,Vizianagaram,2022,4,1044490,64406405
Andhra Pradesh,Ysr,2022,4,1556901,93975668
Andhra Pradesh,West Godavari,2022,4,1893310,129116752
Andhra Pradesh,Chittoor,2022,4,2636036,189655966
Andhra Pradesh,East Godavari,2023,1,2965296,98931582
Andhra Pradesh,Srikakulam,2023,1,1263204,48743038
Andhra Pradesh,Visakhapatnam,2023,1,3732544,107253885
Andhra Pradesh,Prakasam,2023,1,1719910,112502189
Andhra Pradesh,Anantapur,2023,1,2228505,177793392
Andhra Pradesh,Kurnool,2023,1,2114023,149581663
Andhra Pradesh,Guntur,2023,1,2900895,103514892
Andhra Pradesh,Krishna,2023,1,2941585,98727644
Andhra Pradesh,Spsr Nellore,2023,1,1740294,111993275
Andhra Pradesh,Vizianagaram,2023,1,1094782,55519223
Andhra Pradesh,Ysr,2023,1,1628595,109842928
Andhra Pradesh,West Godavari,2023,1,1980446,102965151
Andhra Pradesh,Chittoor,2023,1,2755784,164669558
Andhra Pradesh,East Godavari,2023,2,3082893,101375784
Andhra Pradesh,Srikakulam,2023,2,1317771,48040159
Andhra Pradesh,Visakhapatnam,2023,2,3877504,115516314
Andhra Pradesh,Prakasam,2023,2,1792637,104288559
Andhra Pradesh,Anantapur,2023,2,2323796,164437247
Andhra Pradesh,Kurnool,2023,2,2202517,142843895
Andhra Pradesh,Guntur,2023,2,3014655,97915941
Andhra Pradesh,Krishna,2023,2,3054956,99723659
Andhra Pradesh,Spsr Nellore,2023,2,1811781,113350865
Andhra Pradesh,Vizianagaram,2023,2,1141578,55405616
Andhra Pradesh,Ysr,2023,2,1694843,98586928
Andhra Pradesh,West Godavari,2023,2,2059880,116005083
Andhra Pradesh,Chittoor,2023,2,2865250,170462384
Andhra Pradesh,East Godavari,2023,3,3211557,83823834
Andhra Pradesh,Srikakulam,2023,3,1375950,44064462
